eventId,subEventName,tags,playerId,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,id,x1,y1,x2,y2
8,Launch,['Not accurate'],Rapha\u00ebl Adelino Jos\u00e9 Guerreiro,"Portugal - Morocco, 1 - 0",Pass,Portugal,1H,2609.562526,Launch,259478022,7,10,42.0,22.0
8,Head pass,['Accurate'],Karim El Ahmadi Al Aroos,"Portugal - Morocco, 1 - 0",Pass,Morocco,1H,2611.333812,Head pass,259478115,58,78,66.0,79.0
8,Simple pass,['Accurate'],Mbark Boussoufa,"Portugal - Morocco, 1 - 0",Pass,Morocco,1H,2616.108103,Simple pass,259478116,66,79,61.0,96.0
8,Simple pass,['Accurate'],Nabil Dirar,"Portugal - Morocco, 1 - 0",Pass,Morocco,1H,2618.136996,Simple pass,259478117,61,96,83.0,90.0
1,Ground attacking duel,"['Free space right', 'Won', 'Accurate']",Nordin Amrabat,"Portugal - Morocco, 1 - 0",Duel,Morocco,1H,2619.875475,Ground attacking duel,259478119,83,90,93.0,91.0
1,Ground defending duel,"['Free space left', 'Lost', 'Not accurate']",Rapha\u00ebl Adelino Jos\u00e9 Guerreiro,"Portugal - Morocco, 1 - 0",Duel,Portugal,1H,2621.267558,Ground defending duel,259478026,17,10,7.0,9.0
8,Cross,"['Right foot', 'High', 'Not accurate']",Nordin Amrabat,"Portugal - Morocco, 1 - 0",Pass,Morocco,1H,2622.545197,Cross,259478120,93,91,80.0,62.0
8,Simple pass,['Accurate'],C\u00e9dric Ricardo Alves Soares,"Portugal - Morocco, 1 - 0",Pass,Portugal,1H,2624.232458,Simple pass,259478027,20,38,9.0,55.0
8,Hand pass,['Accurate'],Rui Pedro dos Santos Patr\u00edcio,"Portugal - Morocco, 1 - 0",Pass,Portugal,1H,2634.966191,Hand pass,259478028,9,55,43.0,97.0
7,Acceleration,['Accurate'],C\u00e9dric Ricardo Alves Soares,"Portugal - Morocco, 1 - 0",Others on the ball,Portugal,1H,2638.439606,Acceleration,259478029,43,97,71.0,97.0
8,Simple pass,['Accurate'],C\u00e9dric Ricardo Alves Soares,"Portugal - Morocco, 1 - 0",Pass,Portugal,1H,2644.346514,Simple pass,259478030,71,97,66.0,88.0
8,Simple pass,['Accurate'],Bernardo Mota Veiga de Carvalho e Silva,"Portugal - Morocco, 1 - 0",Pass,Portugal,1H,2646.031255,Simple pass,259478031,66,88,62.0,79.0
8,Simple pass,['Accurate'],Jo\u00e3o Filipe Iria Santos Moutinho,"Portugal - Morocco, 1 - 0",Pass,Portugal,1H,2647.848987,Simple pass,259478032,62,79,64.0,81.0
8,Simple pass,['Accurate'],Bernardo Mota Veiga de Carvalho e Silva,"Portugal - Morocco, 1 - 0",Pass,Portugal,1H,2651.232978,Simple pass,259478034,64,81,59.0,76.0
7,Touch,[],Jo\u00e3o Filipe Iria Santos Moutinho,"Portugal - Morocco, 1 - 0",Others on the ball,Portugal,1H,2652.484182,Touch,259478035,59,76,52.0,58.0
1,Ground defending duel,"['Neutral', 'Accurate']",Youn\u00e8s Belhanda,"Portugal - Morocco, 1 - 0",Duel,Morocco,1H,2653.89236,Ground defending duel,259478124,48,42,49.0,50.0
1,Ground attacking duel,"['Neutral', 'Accurate']",William Silva de Carvalho,"Portugal - Morocco, 1 - 0",Duel,Portugal,1H,2654.484995,Ground attacking duel,259478037,52,58,51.0,50.0
8,Simple pass,['Accurate'],William Silva de Carvalho,"Portugal - Morocco, 1 - 0",Pass,Portugal,1H,2656.667229,Simple pass,259478039,51,50,58.0,51.0
8,Simple pass,['Accurate'],Jo\u00e3o M\u00e1rio Naval da Costa Eduardo ,"Portugal - Morocco, 1 - 0",Pass,Portugal,1H,2657.924815,Simple pass,259478041,58,51,37.0,44.0
